                                                                                                                                         Tweet,Sentimen
Harapan jokowi DPR segera setujui perpu corona jadi UU,Positif
"Tiga penumpang KRL positif virus Covid-19 berdasarkan hasil tes swab di Stasiun Bogor, Jabar.",Positif
"Kalau sudah main panggilan-panggilan begini, biasanya alasan paling klasik untuk tidak memenuhi panggilan adalah pergi umroh",Positif
: Tiga gnome SARS-CoV-2 dari tiga orang penderita COVID-19 berhasil dipetakan Lembaga Biologi Molekuler Eijkman.,Positif
"sy mila ingin berdoa semoga corona cepat"""" musnah dari bumi",Positif
" Makasar panas kan, masa corona berani juga kesana ?",Positif
"Stop Berkerumun, Ayo Jaga Kebersihan dan Jaga Jarak Untuk Kesehatan dan Keselamatan Kita Semua",Positif
"Iya saya juga sedih wabah corona ini, kangen kampus, kangen teman2, kangen meeting sama klien sambil suguhi aneka makan",Positif
"Hal ini untuk menghadirkan kesan lebih baik untuk wisatawan, setelah pandemi berakhir. ",Positif
Jerinx berkali-kali menegaskan kalau ia percaya ada agenda para elit global di balik mewabahnya virus corona ini,Positif
CORONA itu sebenarnya hanya wabah. Tp ditangan pemimpin yg lemah berubah jadi musibah.,Positif
Wanti-wanti Jokowi Antisipasi Gelombang Kedua Corona dari Kepulangan TKI,Positif
Kasus Tertular dan Sembuh Seimbang,Positif
"Sedih gue, Ya Allah angkatlah corona ini Ya Allah.",Positif
 Kita prihatin setelah 3 hari tren kasus Corona di DKI menurun kembali melonjak. Ini sinyal bhw wabah Corona masih jauh dari indonesia,Positif
Awalnya disini.  Tdk perlu takut dgn yg namanya virus corona.  Data yg saya terima 84% dpt disembuhkan.,Positif
"Suku Dinas Kesehatan Jakarta Pusat menggelar rapid test kepada warga di Kelurahan Kebon Kacang, Jakarta Pusat. ",Positif
Corona cepet cepet ilang plisss kebutuhan gue banyak banget ini,Positif
Stop Sebar Hoax Corona! Sebar Hoax Bisa Kena UU ITE! #LawanHoaxBeritaCorona #2020berkata ,Positif
baek gue beli satu dulu ya... yang lainnya nyusul habis corona selese dah serius,Positif
" Ajudan Wagub Sumut, menjadi kasus pertama terinfeksi virus Corona setelah sebelumnya dinyatakan sembuh.",Positif
BPOM akhirnya buka suara. Waspada klaim sesat Satgas Jamu Tongfang Dasco Gerindra yang menyatakan #HERBAVID19 dapat menyembuhkan,Positif
,Positif
"Pak,bapak sempat kena virus corona loh dan sama Allah masih dikasih waktu",Positif
Presiden @jokowi meminta jajarannya untuk membantu menekan persebaran virus Corona di sejumlah daerah yang angkanya masih tin…ggi,Positif
@JokoHQ silahkan berkelompok 10 orang pilih 1 orang jadi ketua u maju presentasi (tes corona) gitu ya?,Positif
tujuan Perpu 1/2020 adalah semata2 memberikan ruang gerak bagi pemerintah untuk melakukan stimulus fiskal dan langkah2 lain ya,Positif
"pihak yg bersebrangan dgn pemerintah dlm program penanggulang corona, diam2 sudah mulai mengakui dan menyadari manfaatnya ",Positif
"tetapi, bukannya pemberitaan itu menandakan bahwa Corona sudah mulai pulih?",Positif
Surat presiden mengenai Perpu Keuangan Negara dan Stabilitas Keuangan saat darurat virus corona sudah berada di DPR. ,Positif
"Cegah Penyebaran Corona, Anggota Polresta Palangkaraya Kalteng dan Yayasan Ini Bagikan Masker ",Positif
"Kabar baiknya, tak ada penambahan kasus positif corona di Selandia Baru selama dua hari berturut.",Positif
DPR HARUS SETUJUI Perpu Corona Menjadi UU CORONA ,Positif
Di mana untuk membahas langkah-langkah BUMN dalam penanganan Virus Corona atau Covid-19.,Positif
Mundur! Wabah Corona di Indonesia yang sebelumnya diprediksi selesai di 6 Juni kini bergeser menjadi 23 September 2020. ,Positif
Asal Corona dari China. Tapi sampai saat ini TKA China masih mengalir masuk ke Indonesia. Logika berpikir para pemimpin kita,Positif
Takut kepada ALLAAH mendatangkan KETENANGAN.,Positif
Takut kepada selain ALLAAH mendatangkan KEGELISAHAN,Positif
selesai corona ayok makan seblak pademangan,Positif
 Presiden Jokowi memerintahkan pengendalian arus balik ke arah Jabodetabek. Jokowi meminta agar arus balik tidak memunculkan,Positif
Pasien Positif Corona di Aceh Tinggal SatuÿOrang,Positif
Kita Bisa Belajar dari Kesuksesan China Tangani Corona,Positif
Selesai corona semoga bisa ngerasain keuwuan pokoknya,Positif
Ayo corona cepet ilang dong aku mau nyari sekolah,Positif
"Mau berbagi sedikit cerita dari temen gw yg """"Sembuh"""" dari Corona.",Positif
"Untuk mencegah terjadinya krisis pangan selama pandemi virus Corona, seorang Kepala Desa Di Kabupaten Blitar ",Positif
"Abis corona pokoknya mau liat ijo"""" lagiiiii",Positif
Bangkitkan Kesadaran Diri Sendiri Demi Berakhirnya Corona,Positif
Kgn kumpul? di tapi terhambat corona ,Positif
"Skip dulu ya, nanti selesai corona pasti mama nafkahin kamu lagi okay?",Positif
"Corona kelar, pengadilan agama penuh",Positif
"Corona cepatlah pergi, Udah sebulan dirumah nih rebahan terus ",Positif
"Cegah Penularan Corona, Tukang Cukur Ini Kenakan APD",Positif
Gimana corona di korea? Udah aman ya korea?,Positif
Udah posting di IG tp kayanya butuh dishare di twitter juga ,Positif
Cuss lah. Corona enyah kita njajan. Sampek koe lemuu aku ora,Positif
Disuruh bikin teks drama tentang corona bingung sendir anjr,Positif
Menkopolhukam Mahfud MD membeberkan soal hak imunitas pemerintah di Perpu corona,Positif
Pemprov Jabar waspadai potensi penyebaran virus corona di tempat kerja ,Positif
" Iya saya juga sedih wabah corona ini, kangen kampus, kangen teman2, kangen meeting sama klien sambil suguhi aneka makan",Positif
"Viral video dua pria membagikan sembako dan uang. Dalam video tersebut, sembako plus uang tunai itu dibagikan kepada warga ",Positif
"Sebentar lagi musim berganti, gaes..",Positif
"Mudah2n bisa minimalisir virus #Corona, ",Positif
Sebuah data kembali mengungkap prediksi akhir wabah virus Corona di sejumlah negara. RI bakal mengakhiri wabah lebih lama,Positif
"Corona cepat selesai dong, di rumah mulu duit ga jalan ya Allah nangis banget",Positif
Mudik dilarang itu untuk keselamatan bersama disaat pandemic seperti ini,Positif
Gaya @ganjarpranowo mengecek persiapan New Normal di mall,Positif
atut dicontoh oleh yg lain turun langsung ke lapangan agar penerap…,Positif
" Kondisi kota surabaya sudah parah dalam penanganan virus corona, Pemkot sudah tidak mampu mengendalikan dan kemampuan rumah…",Positif
"aku: """"pengen udahan coronanya""""",Positif
kita taruhan yu yang duluan udahan kita atau corona…,Positif
Tapi kita belum akan melakukan normal baru dalam waktu pendek. Kalau nanti kita melihat grafiknya masih tinggi tentu normal…,Positif
"Jaga-jarak, jaga-diri, kawan2 semua",Positif
" Menurut pemerintah hari ini tidak ada penambahan signifikan kasus di daerah, tapi jumlah penambahan kasus hari ini mencapai 6",Positif
Dokter Pembongkar Kebobrokan Penanganan Corona di Surabaya akan Dihukum,Positif
" kapal-kapal wisata di Labuan Bajo semasa corona. Satu persatu tenggelam, menanti corona selesai. ",Positif
Tunda untuk tahun ajaran baru sekolah selama pandemik corona - Tandatangani Petisi! ,Positif
@omkuyusss Yang penting kan benefitnya mas hehe,Positif
"Dpet crita tmn , pcrnya kena corona di LA . Gila2 g tertolong ",Positif
"Bukan karna corona, tp emang menghindar biar ga ketemu aja ya hehe",Positif
Bayangin kamu tidur terus besok pagi bangun dan ternyata bencana corona ini ternyata cuma mimpi buruk dan kita bera…t,Positif
Kasus positif corona semakin meninggi sebagai gambaran tingkat kepedulian masyarakat masih rendah,Positif
"Soal Sekolah Kembali Dibuka, KPAI: Berpotensi Munculkan Klaster Baru Corona",Positif
"Corona itu seperti istrimu, ketika engkau mau mengawini, kamu berpikir, kamu bisa menaklukan dia. Tapi sesudah menjadi ist",Positif
@CutiepieLeo iyaa smoga per corona an ini bs sgera berakhir,Positif
"Yang berat tuh misscomnya. Kadang jadi overthinking, kadang misspresepsi, dibuat kangen gila2an, tapi masi…",Positif
Masa depan dunia pasca corona menyongsong peradaban baru islam (KHILAFAH).,Positif
 @podoradong: RS Unair berhenti menerima pasien corona ,Positif
@Aryprasetyo85 @HarisSekipi @jokowi Semoga putus mata rantai penyebaran virus corona ini…,Positif
"Hadapi New Normal, Ini 6 Cara Melindungi Diri dari Virus Corona Saat Kembali Bekerja di Kantor",Positif
Lepas Libur Libur. Seandainya tak ada corona. Mungkin ku sudah pulang k bdg.,Positif
"Pengen ketemu tau sayang,tapi jauh dan ditambah lagi ada corona",Positif
Jokowi Kerahkan TNI Polri Untuk Aktif Mendisiplinkan Masyarakat,Positif
"Sebelum corona boro2 gitu, corona bener2 bisa merubah perilaku sih. Untungnya berubah ke hal yg positif.",Positif
Pemkot Bekasi Jelaskan Sekeluarga Positif Corona: Bukan Tertular Saat Salat ,Positif
Seorang dokter mengungkapkan bantuan Pemkot Surabaya yang diberikan kepada tenaga medis berupa makanan.,Positif
" wildan ulang tahun gak kek gini gini kali padahal lagi corona jugak, sedih sedihh andre aja yg baru masuk…",Positif
Survei: Penanganan Corona oleh Provinsi Lebih Baik dari Pusat,Positif
"sebenernya aku kangen bgt sama malang, tp kalo kuliah masuk pas corona blm membaik jatohnya kayak jihad ga sih?",Positif
YA ALLAH KAPAN CORONA RAMPUNG ,Positif
"Ga cukup kasih panggung ke para pemercaya konspirasi yang propagandain corona ga bahaya, sekarang berempati sama koruptor…",Positif
org yg sekolah tinggi harusnya mikirnya tuh makin bijak. ,Positif
"Kalau corona belum ilang nih, pertanyaan cuma satu. Kapan balik kuliah lagi?",Positif
Anies menegaskan penggunaan SIKM untuk melindungi warga Jakarta dari virus corona.,Positif
kmren pas corona belum masuk kok gaada 'gladi corona' seh. santuy gtu ,Positif
"mikirin idup, kerjaan, corona, psbb tuh  pusing. mikirin kamu pusing juga tapi kok tetep diulang-ulang ya?",Positif
Jika terbukti  tidak dipenuhi maka pantaslah disebut tukang ngubul. ,Positif
"Penambahan jumlah corona perhari mulai tidak masuk akal, saking gak masuk akal, iki meden medeni opo yopo.. Suwe suwe mikirku dadi ngunu",Positif
@ehkntlo pengen kumpull kl dah kelar corona,Positif
WHO Minta Indonesia Hentikan Penggunaan Klorokuin ke Pasien Corona ,Positif
"perasaanku kekamu kayak corona di Indonesia, meski tak diinginkan tapi tetap bertambah",Positif
Sayang banget Lucinta Luna gaada pas corona gini,Positif
@azizarhma Kata corona gpp kalo mau beli es doang hyung,Positif
"Salut! 80,70% Warga Jakarta Puas dengan Cara Anies Tangani Wabah Corona",Positif
"guys doain saya biar dpt kerjaan, lg corona gini susah bgt dpt kerjaan",Positif
Alhamdulillah Terima kasih corona hadirmu meminimalisir pengeluaran ortuku yang biasanya perbulan nge tf uang jajan…,Positif
"Hehhh?? Istighfar nderrr.. maaf gabisa aku, corona sih, kalo ga ada corona gasss.. eh ya Allah. Siapa sih ini?",Positif
Perselingkuhan Ekonomi di Balik Pengesahan Perppu Corona.,Positif
Thread di kaskus gak seru nih sekarang udah gak natural apalagi ditambah lagi corona,Negatif
Sanksi Tegas untuk Individu dan Perusahaan yang Lakukan Pelanggaran di PSBB Periode Kedua,Negatif
"MUDIK sudah dilarang, ada kesempatan masih boleh PULANG KAMPUNG",Negatif
Sanksi Tegas untuk Individu dan Perusahaan yang Lakukan Pelanggaran di PSBB ,Negatif
Pengen ketemu tapi kehalang sama restu #corona,Negatif
"Tak Bisa Bayar Kontrakan, Warga Pilih Mudik Duluan",Negatif
"Gara gara kuliah online ke kamar mandi pun bawa hp segala, untung ga pake apl zoom.wkwkwkw #kuliah  #Corona",Negatif
Top News Rakyat Merdeka Edisi Cetak Soal Larangan Mudik Lebaran Pemerintah Tidak Ambil Kebijakan Grusa,Negatif
#Dari #AS #hingga #Eropa Tunjuk Hidung China #Penyebab #Wabah #Corona,Negatif
PETA DUSTA,Negatif
Menumpas Corona Birawa ,Negatif
Sedangkan skrng posisinya lagi kegini #corona bodohnya gua tetep aja kekeh pengen pulang alesan bnyk kelas online,Negatif
HAYO SEREMAN MANA ? HAH? NKRI BUKAN KALENG-KALENG,Negatif
"Pemerintah Kabupaten Muaro Jambi, Provinsi Jambi, memberikan pembebasan sementara terhadap 8 jenis pajak daerah selatan",Negatif
Pandemi Covid-19 yang disebabkan virus corona diperkirakan akan terus terjadi.,Negatif
"pagi bangsat, selamat hari jumat buat kamu yg namanya mamat #twitterreceh #twitter #dramatwitter #anaksekolahan #corona #maljum #seseorang",Negatif
"YANG MUDIK DENDA, KENAPA PUNISHMENT MULU YANG DIUMUMIN, KALO GA MUDIK DAPET REWARD APA DR PEMERINTAH ?",Negatif
mengerjakan tugas dari #sekolah secara online akibat adanya #pandemi #wabah #virus #corona (covid-19) yang mengharukan,Negatif
"10 Negara Terancam Kelaparan, Alhamdulillah, Indonesia Tak Masuk Catatan PBB #PBB #kelaparan #Corona #coronavirus",Negatif
"Semua Pahlawan dunia, Tidak mampu lawan #Corona",Negatif
Rekomendasi WHO: Tunda Kompetisi Hingga 2021#WHO #UEFA #Sepakbola #Coron,Negatif
INDIA also No.1 in #Corona World War. Thanks hon. shri,Negatif
Mau Demo Di Saat Begini Buruh Jangan Ngeyel Ah...#Demo #Buruh #MayDay2020#Corona,Negatif
Seorang pakar virologi senior Rusia mengatakan bahwa dugaan virus corona (covid-19) diciptakan oleh manusia,Negatif
Kenangan indah di pulau #sumatra penyebrangan di suasana wabah #corona,Negatif
"Sambikerep Manukan lancar, Manukan Margomulyo agak ruwet, ramai lancar @imandwi35 @e100ss , tetap semangat n sehat",Negatif
"Waduh, 23 Pemain Inter Milan Alami Batuk dan Demam",Negatif
Sunil Lahri Sbko dhanyawad krte hue @aajtak @ndtv @LahriSunil #coronaupdatesindia #Corona #SoniaGandhi,Negatif
"Puasanya jadi, lebarannya bisa jadi.#corona udah apa udah mainnya, balik keasal sono!",Negatif
Berbeda pendapat?salah?Lah Otak punya hak untuk berfikir secara liar bre.#corona,Negatif
"Putusan Bersama, MUI Kota Padang Tiadakan Shalat Terawih #Corona",Negatif
Kalau anda bingung dgn pernyataan Ketentuan Mudik yg sgt tegas ini berarti anda bukan warga negara kami,Negatif
"@MataNajwa @jokowi Ojol tidak pernah takut mati karena Corona, tapi mereka takut anak istrinya mati kelaparan! ",Negatif
"Kalau kaya gini terus, lama-lama kita lupa caranya bertegur sapa secara langsung.",Negatif
" Epidemi Coronavirus, membuat banyak destinasi yang sebelumnya populer tiba-tiba menjadi sepi",Negatif
"600 Ribu Masuk Jateng, 253 Ribu Masuk Jabar, 50 Ribu Masuk Jatim Mudik  Dilarang",Negatif
"Hampir seluruh aspek kehidupan penduduk dunia terdampak pandemi corona, termasuk sektor penerbangan yg anjlok sejak viruscorona masuk",Negatif
Blm ada yg berhasil dg sistem lockdown.,Negatif
Akibat #Corona Salat #Tarawih di Masjidil Haram dan Nabawi Tahun Ini Hanya 11,Negatif
"Maksa banget, Bisa beli berbagai sambungan pipa sama kita lengkap banget, gak usah bingung",Negatif
 Kredit 50 ribu rupiah doang udah bisa main game taruhan Adu Ayam #corona hahaha,Negatif
